test loss regression,train loss regression,test loss classification,train loss classification,test MSE,train MSE,test acc,train acc
9.876413855636201e-06,9.551616858516355e-06,0.0006684218475129456,0.0006816321256337687,0.0006684218475129456,0.0006816321256337687,0.31448295451700686,0.7313000006601215
1.3414744108915329,0.9902616873383522,1.9248217523097992,0.9152608215808868,0.00030531353477272207,0.00030808678129687903,0.3420534089207649,0.8057124957442283
9.653856068325695e-06,9.265682888326409e-06,0.00030531353477272207,0.00030808678129687903,0.00019126747793052346,0.0001920847331348341,0.3608102262020111,0.8211750021204353
1.3382186084985732,1.0001694351434707,1.8477614402770997,0.7212877854704857,0.00013830402967869305,0.00014124822464509635,0.3773613631725311,0.8285875026136637
9.537185815133852e-06,9.170907742372946e-06,0.00019126747793052346,0.0001920847331348341,0.0001090231451598811,0.00010732033970271005,0.39680795520544054,0.8210250005126
1.3462017595767974,1.012272560596466,1.7825526207685471,0.6684259355068207,8.869985140336212e-05,8.624366109870607e-05,0.4107386380434036,0.8232374966144562
9.288315209232677e-06,9.015652551624953e-06,0.00013830402967869305,0.00014124822464509635,7.519689261243911e-05,7.426505435432773e-05,0.4246670439839363,0.8079750016331673
1.3307814419269561,1.0043250307440759,1.7265338450670242,0.6469216585159302,6.517708943647449e-05,6.426183890653192e-05,0.4362886354327202,0.799949997663498
9.331508249488251e-06,8.977247546226863e-06,0.0001090231451598811,0.00010732033970271005,5.790678205812583e-05,5.645034798362758e-05,0.44476931989192964,0.7896499991416931
1.333703052997589,1.0159699857234954,1.6655567020177842,0.6488363780081272,5.233806832620758e-05,5.062475047452608e-05,0.4513977266848087,0.7670875027775764
9.093280323213548e-06,8.660135597438056e-06,8.869985140336212e-05,8.624366109870607e-05,4.708090928033926e-05,4.5488170781027296e-05,0.4580784119665623,0.7689375013113022
1.3370714217424393,1.0118254542350769,1.62759308218956,0.6392317958176136,4.3093027488794175e-05,4.151366129008238e-05,0.4660181820392609,0.7606625005602836
9.049085520018707e-06,8.858201272232692e-06,7.519689261243911e-05,7.426505435432773e-05,3.955528136430075e-05,3.812122085946612e-05,0.470002269744873,0.7537499994039536
1.3368969589471817,1.0238133415579795,1.5815070003271103,0.6657903611660003,3.6583067867468344e-05,3.5418826519162395e-05,0.4757500015199184,0.7486374974250793
8.824045471556019e-06,8.523832843820855e-06,6.517708943647449e-05,6.426183890653192e-05,3.411951893212972e-05,3.3085481754824285e-05,0.4787431813776493,0.7416875004768372
1.33083832859993,1.018002098798752,1.549385768175125,0.6788061268627643,3.197884875589807e-05,3.0489037453662603e-05,0.4805999994277954,0.7362749949097633
8.761825324654637e-06,8.527704972038919e-06,5.790678205812583e-05,5.645034798362758e-05,2.989950817209319e-05,2.901968218793627e-05,0.48338977470993993,0.7346249997615815
1.3339022636413573,1.0221672281622887,1.5259814083576202,0.7014897480607033,2.7978219168289798e-05,2.686608581825567e-05,0.48481818065047266,0.7283124998211861
8.530586933375162e-06,8.285738658742048e-06,5.233806832620758e-05,5.062475047452608e-05,2.679894305401831e-05,2.604272553980991e-05,0.48708750009536744,0.7245125025510788
1.3345807641744614,1.0289808914065361,1.5025049805641175,0.7462147176265717,2.5097412299146525e-05,2.4152308606062432e-05,0.4869125001132488,0.718500004708767
8.372724823857425e-06,8.045384618071694e-06,4.708090928033926e-05,4.5488170781027296e-05,2.3902510292828083e-05,2.317733274139755e-05,0.4886659078299999,0.7197375029325486
1.3310950845479965,1.0223800837993622,1.4851051211357116,0.745399059355259,2.263989404127642e-05,2.1926394265392445e-05,0.4902045451104641,0.7167250022292138
8.289659308502451e-06,7.849032249396259e-06,4.3093027488794175e-05,4.151366129008238e-05,2.1728219235228607e-05,2.07946980935958e-05,0.489297728985548,0.7156124979257583
1.3417495995759965,1.0441121935844422,1.4651984572410583,0.7619206503033638,2.0996261628170033e-05,2.0295484364396544e-05,0.4920863650739193,0.7112000033259391
8.240375871082506e-06,7.794856571763376e-06,3.955528136430075e-05,3.812122085946612e-05,1.9905923500118662e-05,1.9115566783511894e-05,0.49156022667884824,0.7116749972105026
1.3346168845891953,1.034732024371624,1.4538711577653884,0.7735731676220894,1.9195060713173006e-05,1.818641626414319e-05,0.49284317940473554,0.7064624980092049
8.1413046700618e-06,7.723513942892168e-06,3.6583067867468344e-05,3.5418826519162395e-05,1.8281640495843022e-05,1.7476394373261427e-05,0.49503295347094534,0.7061500012874603
1.3276138931512833,1.0269304275512696,1.4390341818332673,0.7852023705840111,1.759875499374175e-05,1.7288276512772428e-05,0.49439772590994835,0.7020874977111816
8.0187697335532e-06,7.57279001390998e-06,3.411951893212972e-05,3.3085481754824285e-05,1.6898291096367758e-05,1.6267977321149375e-05,0.4945636369287968,0.699762499332428
1.33609080016613,1.0385581120848655,1.4228811621665955,0.8055392161011696,1.6604075130999264e-05,1.59062390366671e-05,0.4952545419335365,0.6959374934434891
